created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 01 23:52:00 +0000 2023;1708630875481743858;"PRAMUGARI KERETA CEPAT WAJIB BISA BAHASA MANDARIN, WOOIII... INI INDONESIA APA INDOCINA SIH?  Dirut KCIC mengatakan, pramugrari kereta cepat Jakarta-Bandung wajib bisa bahasa Cina. Alasannya, sebagian saham dimiliki BMUN Cina.  Ini ngawur, superngawur!";0;2;0;0;in;1669742231228682241;1708630875481743858;FurqanIbr64677;https://twitter.com/FurqanIbr64677/status/1708630875481743858
Sun Oct 01 23:49:33 +0000 2023;1708630258604523608;"@Te_Ge_Es @Agus41531830 @papa_loren Aslinya kalo gak ada subsidi BBM 650 T pertahun bisa buat banyak hal sih, mau di korup misal extrem setengahnya aja dah bisa biayain 3 proyek KCIC 😂, atau bangun IKN pure APBN, atau transisi ke gas bumi dan listrik. Cm kaga ada presiden yg berani wkwk..";0;0;0;1;in;1414830047848927239;1708446149085118768;AAdnawri;https://twitter.com/AAdnawri/status/1708630258604523608
Sun Oct 01 22:05:26 +0000 2023;1708604057844424793;"@strike_bravo_b @FelixSGL1 @Outstandjing Yoii awal mula Jonan digeser ya krn ga setuju KCIC  krn bnyk mudhorotnya";0;1;0;0;in;491344885;1708318968841380112;roymustanggggg;https://twitter.com/roymustanggggg/status/1708604057844424793
Sun Oct 01 18:26:35 +0000 2023;1708548984183423050;"KCIC: kehadiran Transjakarta tingkatkan mobilitas menuju Stasiun Halim https://t.co/XC0JfOyFs0";0;0;0;0;in;305657272;1708548984183423050;ilhamiasnawi;https://twitter.com/ilhamiasnawi/status/1708548984183423050
Sun Oct 01 18:21:12 +0000 2023;1708547627518992736;"@meleysclaw @miskiy28 KCIC itu bukan makanan. Sampe sini paham y...";0;0;0;1;in;1237527526206877699;1708382330187096179;BambangSinaga16;https://twitter.com/BambangSinaga16/status/1708547627518992736
Sun Oct 01 17:56:11 +0000 2023;1708541330543268196;"KCIC: kehadiran Transjakarta tingkatkan mobilitas menuju Stasiun Halim https://t.co/aEWG4G2TkC";0;0;1;0;in;1854261536;1708541330543268196;sabhatansabiz;https://twitter.com/sabhatansabiz/status/1708541330543268196
Sun Oct 01 15:58:00 +0000 2023;1708511590608474463;"@papa_loren @KeretaCepatID baca tuh jawabannya ya. Kl keretanya beroperasi di Cina maklum, stafnya berbahasa Cina. Ini kan beroperasi di Indonesia, dibayar pk utang orang Indonesia. Satu aja staf Indonesia lu paksa berbahasa Cina, angkut tu kereta, balikin ke Cina!";0;0;0;1;in;132125378;1708023342605971551;yoke_cihuy;https://twitter.com/yoke_cihuy/status/1708511590608474463
Sun Oct 01 15:45:23 +0000 2023;1708508415260307845;"@Kanselir_ Intinya kita bisa ngutang besar berkat KCIC dengan konsensi 80 tahun. Ambyarrrrr";0;0;0;0;in;526768748;1708266562359320924;leliana99;https://twitter.com/leliana99/status/1708508415260307845
Sun Oct 01 15:15:36 +0000 2023;1708500918357107136;"KCIC: kehadiran Transjakarta tingkatkan mobilitas menuju Stasiun Halim https://t.co/LCPJuXgPPP";0;0;0;1;in;1203876160469266433;1708500918357107136;antarabiz;https://twitter.com/antarabiz/status/1708500918357107136
Sun Oct 01 15:10:31 +0000 2023;1708499640570777754;"@diantikanin @ridwanhr @KeretaCepatID Masalahnya apa kata pusat 😂";0;0;0;0;in;575155940;1708084294835720402;apepramadhan;https://twitter.com/apepramadhan/status/1708499640570777754
Sun Oct 01 15:03:16 +0000 2023;1708497815587155983;"@apepramadhan @ridwanhr @KeretaCepatID Kalo ada sayembaranya, pasti lo menang nih pep";0;1;0;0;in;63704737;1708084294835720402;diantikanin;https://twitter.com/diantikanin/status/1708497815587155983
