created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 09 23:53:46 +0000 2023;1711530425926230299;"PT KAI HARUS TOMBOKI KERUGIAN KERETA CEPAT, PENGUASA OTAKNYA CACAT?  Untuk bayar pokok cicilan dan bunga utang kereta cepat, PT KCIC harus merogoh kocek Rp299,6 miliar/bulan atau Rp2,7 triliun. Ditambah biaya operasional dll yg sekitar Rp1 triliun, jumlah pengeluaran capai Rp3,7T";0;1;0;0;in;1669742231228682241;1711530425926230299;FurqanIbr64677;https://twitter.com/FurqanIbr64677/status/1711530425926230299
Mon Oct 09 23:43:57 +0000 2023;1711527954487095416;"@KeretaCepatID min untuk tgl 11-15 belum bisa dipesan ya?";0;0;0;0;in;1490111204660244482;1711527954487095416;ViantoTech;https://twitter.com/ViantoTech/status/1711527954487095416
Mon Oct 09 23:18:41 +0000 2023;1711521595825717486;"@KeretaCepatID @urangpdh Kalo hari ini adakah ada tiket gratis lagi?";0;0;0;0;in;1704442451602329600;1711269543325401324;Rezafebria22901;https://twitter.com/Rezafebria22901/status/1711521595825717486
Mon Oct 09 23:07:29 +0000 2023;1711518775210856759;"@KeretaCepatID Kak,klw di stasiun tegal luar apakah tersedia parkiran mobil?";0;1;0;0;in;1629004510365622273;1711269543325401324;urangpdh;https://twitter.com/urangpdh/status/1711518775210856759
Mon Oct 09 22:56:06 +0000 2023;1711515910568128713;"@Rihokooo @MeunierFael Ufjdkfixkfkcickf’cifkf’kcic’fjcickf’ckc’f’ckkfc’kckgngkckg’ckckngkckc’ckckckg’kckg’gkckv’ckkc’ckckckckckckkckvkc’ckkckckcldllslsowldkxkxkkckckckgkckckkgkvkvkvkvkv";0;1;0;1;in;1620930717797568512;1711245177229091303;Kazaninho;https://twitter.com/Kazaninho/status/1711515910568128713
Mon Oct 09 22:32:08 +0000 2023;1711509879746429085;"@Ronnie_Rusli Betul prof Indonesia makmur, pemerintah aja mau bagi-bagi rice cooker gratis bagi seluruh rakyat indonesia, bayangkan bila cicilan KCIC yang 236 M/bulan selama 30 th itu,dibelikan alat masak,pasti sudah komplit itu alat masak keluarga seluruh Indonesia, Pasti makmur rakyatnya ✌️";0;0;0;4;in;2678216216;1711379791797199307;stiawan1979;https://twitter.com/stiawan1979/status/1711509879746429085
Mon Oct 09 21:45:32 +0000 2023;1711498153520943601;"@KeretaCepatID harus di komputer ato gimana sih kaga bisa di teken gambar puzzle nya. Huft mana di aplikasi kaga bisaaa https://t.co/mjCpGsnLpe";0;0;0;0;in;61715966;1711498153520943601;Imsolh_Networks;https://twitter.com/Imsolh_Networks/status/1711498153520943601
Mon Oct 09 18:37:46 +0000 2023;1711450901637194092;"@KeretaCepatID min, dari stasiun padalarang ke bandung tuh udah bisa pake KA feeder belum ya selama uji coba ini?";0;1;0;0;in;1522288219861118976;1711450901637194092;mayonaejeu;https://twitter.com/mayonaejeu/status/1711450901637194092
Mon Oct 09 17:40:41 +0000 2023;1711436534447300717;"kak kalo begini harus diapain yaa? soalnya tinggal bayar tapi gak muncul apa2 thankkuu @KeretaCepatID https://t.co/0KToMK235P";0;0;0;0;in;1385633295908495360;1711436534447300717;kyullua;https://twitter.com/kyullua/status/1711436534447300717
Mon Oct 09 17:10:38 +0000 2023;1711428972121382932;"@geloraco APBN jadi jaminan hutang kcic Uang pajak dari rakyat";0;0;0;3;in;1343877459817553921;1711417279148331354;opikarya_kosi;https://twitter.com/opikarya_kosi/status/1711428972121382932
Mon Oct 09 16:24:39 +0000 2023;1711417402305699875;"@miiwndyy @bgntdr @KeretaCepatID Bisa kok, ga harus sesuai tiket.";0;0;0;0;in;1239428171511951360;1711269543325401324;nuel_tj9;https://twitter.com/nuel_tj9/status/1711417402305699875
Mon Oct 09 15:19:34 +0000 2023;1711401019740139521;"Ada Oknum Jual Tiket Gratis Kereta Cepat WHOOSH, KCIC: Kami Proses Hukum https://t.co/8vdUZCr1sF";1;0;0;1;in;118646322;1711401019740139521;Bisniscom;https://twitter.com/Bisniscom/status/1711401019740139521
Mon Oct 09 15:19:33 +0000 2023;1711401016695070868;"@KeretaCepatID @fisanaff bengong karena cicilan tau tau sampai tujuan 🥲";0;0;0;0;in;357225139;1711383878236258663;topantooo;https://twitter.com/topantooo/status/1711401016695070868
Mon Oct 09 15:16:10 +0000 2023;1711400167759655124;"@KeretaCepatID Mimin @KeretaCepatID ini kenapaa?? kok ga masuk gini gini terus?? 😥 https://t.co/GokSeFiNS0";0;0;0;0;in;1213123980883705857;1710973588386549931;ghzlifrdy;https://twitter.com/ghzlifrdy/status/1711400167759655124
