created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 19 23:57:19 +0000 2023;1715155197440512285;"@KeretaCepatID halo, Min. Untuk first class dan business class bisa dibeli lewat mana ya tiketnya? Karena di aplikasi hanya muncul premium economy";0;0;0;0;in;298575971;1715155197440512285;danoyyyyyy;https://twitter.com/danoyyyyyy/status/1715155197440512285
Thu Oct 19 23:53:05 +0000 2023;1715154129969123702;"@KeretaCepatID @KAI121 @keretaapikita @kemenhub151 @perkeretaapian @mas_didiek @garut_railfans @btp_bandung @jurnalrailfans @GM_MarKA @jalur5_ @semboyan35com Hatur nuhun mimin 😍";0;0;0;0;in;1328855907585802242;1714926350392553726;AluqmanBj;https://twitter.com/AluqmanBj/status/1715154129969123702
Thu Oct 19 23:47:54 +0000 2023;1715152827771711595;"@PutriSyhb @KeretaCepatID Kak aku izin mau dm dong, boleh ga🙏🏻";0;1;0;0;in;1039754277789417472;1714495393713864817;nolapansatutiga;https://twitter.com/nolapansatutiga/status/1715152827771711595
Thu Oct 19 23:45:55 +0000 2023;1715152325894148577;"LRT Setiabudi - LRT Halim done ✅️ +/- 30 menit  LRT Halim - KCIC Halim 🤝 https://t.co/zQ8WMiDoa5";0;1;0;0;in;1640567161;1715142027678302620;andicahyooo;https://twitter.com/andicahyooo/status/1715152325894148577
Thu Oct 19 23:44:12 +0000 2023;1715151897475305809;"30 Penumpang Ditinggal Whoosh gegara KA Feeder Telat, KCIC Minta Maaf https://t.co/sVmlMBywWg";0;0;0;0;in;240113510;1715151897475305809;detikTravel;https://twitter.com/detikTravel/status/1715151897475305809
Thu Oct 19 23:44:11 +0000 2023;1715151893197209823;"@KeretaCepatID Min, tolong perbaiki sistemnya, kemaren naik whoosh masa qr nya di st. Tegalluar ga kebaca, disuruh print ke bawah, masih ga kebaca juga qr nya, akhirnya difoto doang sama petugasnya, semoga makin baik ya kedepannya biar gausah bulak balik";0;0;0;0;in;2496415682;1714854000879923339;realcawsat;https://twitter.com/realcawsat/status/1715151893197209823
Thu Oct 19 23:11:54 +0000 2023;1715143765927793048;"Ini emg problem sih. Whoosh yg dikelola KCIC uda maksimal dan profesional standar tinggi, lah feedernya yg dikelola Daop 2 timnya pak @mas_didiek malah merusak reputasi Whoosh. Kereta telat lah. Kereta bermasalah lah. Kecepatannya lambat lah. Ada aja";13;24;106;219;in;824914361181278209;1715143765927793048;kabarpenumpang;https://twitter.com/kabarpenumpang/status/1715143765927793048
Thu Oct 19 22:51:07 +0000 2023;1715138536159203344;"@nolapansatutiga @KeretaCepatID Kita sama kak. Tapi aku malah dibatalkan tiketnya. Pdhl uang udh berhasil tf. Sampai sekarang uangku gak balik";0;1;0;0;in;1201390880323600384;1714495393713864817;PutriSyhb;https://twitter.com/PutriSyhb/status/1715138536159203344
Thu Oct 19 22:46:22 +0000 2023;1715137339331051736;"@KeretaCepatID Ini buktinya. Sampai sekarang saldo tiket yg dibatalkan dari apk itu gak kembali lagiiii min https://t.co/0jBxOEwRqL";0;0;0;0;in;1201390880323600384;1714854000879923339;PutriSyhb;https://twitter.com/PutriSyhb/status/1715137339331051736
Thu Oct 19 22:44:41 +0000 2023;1715136918177169850;"@KeretaCepatID Min. Saya sudah berhasil transaksi melalui apk Whoosh. Tetapi tiket malah di batalkan. Uang saya gak kembali sampai sekarang. Saldo berkurang. Saya udh DM tapi gak di baca2. GIMANA INIIIIIIIIIIIIIIIII?";0;1;0;1;in;1201390880323600384;1714854000879923339;PutriSyhb;https://twitter.com/PutriSyhb/status/1715136918177169850
