created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Sep 25 16:57:23 +0000 2023;1706352205824135450;"@TheArieAir Yaelaah bisa aja framing nya. Itu St. KCIC Halim deket sama St.LRT, bisa naik LRT. Opsi  lainnya bisa turun di St.KRL Cawang dan lanjut Gojek sebentar. Semua opsi lebih murah dari Taxi yang dibilang di atas";0;0;0;1;in;977603455387811840;1706248842503729211;ontolohod7;https://twitter.com/ontolohod7/status/1706352205824135450
Mon Sep 25 16:24:30 +0000 2023;1706343933146779963;"War kcic apa ya";0;0;0;0;in;83082138;1706343933146779963;wahyuniefrdD;https://twitter.com/wahyuniefrdD/status/1706343933146779963
Mon Sep 25 16:23:07 +0000 2023;1706343583526367738;"ntar kl kcic udh beroperasi normal, w jabanin deh sehari pp buat nyamperin warung2 kecintaanku 🤣";0;0;0;0;in;1706148946228461568;1706343573619446017;toki___o;https://twitter.com/toki___o/status/1706343583526367738
Mon Sep 25 16:01:28 +0000 2023;1706338136698327277;"Itinerary impian saat ini  1. Naik @KeretaCepatID Tegalluar - Halim 2. Naik @lrtjabodebek Halim - Dukuh Atas 3. Naik @CommuterLine BNI City - Soekarno-Hatta Airport 4. Naik kalayang 5. Naik pesawat terbang entah ke mana haha. Malaysia pun boleh lah.";0;0;0;0;in;78262441;1706338136698327277;Nugisuke;https://twitter.com/Nugisuke/status/1706338136698327277
Mon Sep 25 15:42:12 +0000 2023;1706333286761644394;"@KeretaCepatID Belum nih minn kalau dikasih pasti aku seneng banget";0;0;0;0;in;1333376840;1706298423224205588;yemimaphilo;https://twitter.com/yemimaphilo/status/1706333286761644394
Mon Sep 25 15:37:49 +0000 2023;1706332183643000887;"@KeretaCepatID kak kalau anak harus beli seat minimal umur brp? tks";0;0;0;0;in;71734189;1706321272580325630;ajengpratiwi_;https://twitter.com/ajengpratiwi_/status/1706332183643000887
Mon Sep 25 15:25:28 +0000 2023;1706329076536103001;"@KeretaCepatID tegalluar, tapi sayang ga dapet kesempatan uji coba :(";0;0;0;0;in;532135422;1706180147672707371;satriafakhri_id;https://twitter.com/satriafakhri_id/status/1706329076536103001
Mon Sep 25 15:24:22 +0000 2023;1706328800840319416;"@KeretaCepatID aku teh kudu ke jkt tgl 27 min, meni kesel ga kebagian tiket dan belum dijual oge. Kudu naik travel ugal-ugalan 3 jam perjalanan hadeeeuuh asa hoream tp kumaha 😭";0;0;0;0;in;1583277812307308547;1706328800840319416;Lalalareinaa;https://twitter.com/Lalalareinaa/status/1706328800840319416
Mon Sep 25 14:54:12 +0000 2023;1706321208008966217;"@kumparan Awal2 pembangunan juga KCIC dipastikan tidak pakai APBN.";0;0;0;0;in;909441024;1706313748103753765;alfabloodtype;https://twitter.com/alfabloodtype/status/1706321208008966217
Mon Sep 25 14:50:45 +0000 2023;1706320338605252955;"@KeretaCepatID Aslina nya awas dustaa 🤭🤭";0;0;0;0;in;347021790;1706315704696291804;Meiimeii_cece;https://twitter.com/Meiimeii_cece/status/1706320338605252955
Mon Sep 25 14:50:04 +0000 2023;1706320167007817961;"@KeretaCepatID asikkkkk, makin mudah dengan kehadiran Kereta Cepat. kami cinta Kereta Cepat 💕";0;0;0;0;in;3044981024;1706180147672707371;Killmongahh;https://twitter.com/Killmongahh/status/1706320167007817961
Mon Sep 25 14:32:20 +0000 2023;1706315704696291804;"Padahal @KeretaCepatID ini teh bisa membantu kaum LDR kaya aku, Bdg-Dpk teu sajam, tapi yasudahlah… mang ongkosna atuh ting mahal meh panggih saminggu sakali teu sabulan sakali deui :((";0;1;0;0;in;347021790;1706315704696291804;Meiimeii_cece;https://twitter.com/Meiimeii_cece/status/1706315704696291804
Mon Sep 25 14:31:25 +0000 2023;1706315476073054552;"@KeretaCepatID Gak dapet ada lg kapan min 😭😭😭";0;0;0;0;in;1394662451635916803;1705824417501298809;NurulYossita;https://twitter.com/NurulYossita/status/1706315476073054552
Mon Sep 25 14:27:05 +0000 2023;1706314381733003517;"@KeretaCepatID @txtdaribandung min saya gadapet tiket gratisnya, saat launching tolong harganya yg ekonomi sekitar 100 an ya min plss😔😔😔🙏🙏🙏";0;0;0;0;in;982877936284876805;1704051730407883210;whosppam;https://twitter.com/whosppam/status/1706314381733003517
Mon Sep 25 14:11:00 +0000 2023;1706310336465256632;"GOBLOK MENDUNIA, RUGI APANYA⁉️CONTOH KECIL KCIC KATANYA TDK PAKAI APBN AHIRNYA PAKAI APBN, INTINYA KERJASAMA DG CHINA TDK ADALAH YG UNTUNGKAN RAKYAT, KECUALI UNTUNGKAN KELOMPOK PEMBUAT KESEPAKATAN BISA JADI.";0;0;0;0;in;1489979337885765633;1706310336465256632;Kopirobusta9;https://twitter.com/Kopirobusta9/status/1706310336465256632
Mon Sep 25 14:05:50 +0000 2023;1706309037006913623;"@ErsatArema021 @pengarang_sajak Hal basic soal Equity aja lu gak ngerti, ngeributin soal hal lain yg gak relevan dgn substansi. Ngarang banget sambil ngelantur asal mangap 🤣, tipikal otak kosong.  Karena KCIC adalah PT, ya terkait permodalan PT. Terkait jg soal hutang perusahaan, semua ini yg membiayai proyek.";0;1;0;1;in;1350282462367105025;1706241449443090696;vdandre3;https://twitter.com/vdandre3/status/1706309037006913623
Mon Sep 25 13:53:44 +0000 2023;1706305992802095602;"@rizqi_prima @ade_ridwan14 @wildan46508 @KeretaCepatID @doraemonmon @FennyOktavianii @irfan_budiawan_ @selviabudiani @diansandi_N @Killmongahh @Svastya @dupadupp @y0urskies @Ivan8430 @AnonymXav @YellyLhsnhh @indraahmadfauz1 @afii90 @RachmalinD @abetsym Nama, NIK dll";0;1;0;0;in;2464081064;1705195969896468684;QintharaAvanza;https://twitter.com/QintharaAvanza/status/1706305992802095602
Mon Sep 25 13:52:57 +0000 2023;1706305793576796207;"@CNNIndonesia Mungkin pada pindah ke Indonesia seperti tambang2 di Morowali Sulawesi dan 852 orang kerja di KCIC Jakarta Bandung";0;0;0;0;in;62764791;1705937335094042978;nizaminz;https://twitter.com/nizaminz/status/1706305793576796207
Mon Sep 25 13:51:54 +0000 2023;1706305530082349221;"@susipudjiastuti Mungkin pada pindah ke Indonesia seperti tambang2 di Morowali Sulawesi dan 852 orang kerja di KCIC Jakarta Bandung";0;0;0;0;in;62764791;1705968445156970582;nizaminz;https://twitter.com/nizaminz/status/1706305530082349221
Mon Sep 25 13:47:09 +0000 2023;1706304333405380925;"@KeretaCepatID Susah dapetnya 😇";0;0;0;0;in;1704451007932207104;1706298423224205588;yusuf_syuk64257;https://twitter.com/yusuf_syuk64257/status/1706304333405380925
