created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 13 23:06:56 +0000 2023;1712968189578273028;"KCIC Dukung Rencana Pemerintah Lanjutkan Kereta Cepat Hingga Surabaya https://t.co/uyUvBN7G2a via @Businessupdate.id";0;0;1;0;in;1610183865678823424;1712968189578273028;BusinesupdateID;https://twitter.com/BusinesupdateID/status/1712968189578273028
Fri Oct 13 22:44:56 +0000 2023;1712962655118598530;"@Tan_Mar3M @abu_waras Wajah lugu,badan kurus keliatan sederhana tp daya rusaknya utk NKRI LUAR BINASA,utang meroket,rakyat digusur buat investasi china,IKN DIJUAL 2 ABAD UTK CHINA+30th bebas pajak,anak bangsa dilecehkan tp TKA china dipake,desain IKN CHINA JG DILIBATKAN,KCIC bener2 rugi,tp mo+lg Ajur";0;2;4;43;in;1607359469318725633;1712770910011400541;LuckyLudjaina;https://twitter.com/LuckyLudjaina/status/1712962655118598530
Fri Oct 13 22:06:54 +0000 2023;1712953079958839734;"@adriansyahyasin @KeretaCepatID lah gw masuk frame wkwk  nggak ngeh kalo ada ente bang, lagi seru bikin instastory juga. https://t.co/ro7sfGha4i";0;1;0;1;in;965552655362793477;1712763004675383524;maaulana__;https://twitter.com/maaulana__/status/1712953079958839734
Fri Oct 13 21:29:11 +0000 2023;1712943589410640257;"@KeretaCepatID Ngga bisa isi tipe penumpang Child min https://t.co/rMyJGZAMbN";0;0;0;0;in;17175828;1712447635318288657;titanrahadian;https://twitter.com/titanrahadian/status/1712943589410640257
Fri Oct 13 19:34:03 +0000 2023;1712914616521839075;"@KeretaCepatID min kalo tanda bintang inu artinya apa ya? Kok ga bisa dipesen tiketnya https://t.co/vDSS82lgax";0;0;0;0;in;997599660;1712914616521839075;baboya__;https://twitter.com/baboya__/status/1712914616521839075
Fri Oct 13 19:11:34 +0000 2023;1712908956988068224;"@kumparan Nah itu mamanya tahu diri... Ingat KCIC dan JATigede dibiayai BRI (tapi/bukan bank tempat PNS ngutang ya...!)";0;0;1;1;in;202396262;1712757373209870445;chevramli;https://twitter.com/chevramli/status/1712908956988068224
Fri Oct 13 18:23:29 +0000 2023;1712896856869818379;"berhasil pp jkt-bandung naik kcic alias whoosh🤣  tahap 1 2 3 zonk semua, tahap ke 4 mukjizat bgt war tiketnya segampang ituuuu.. padahal udah pasrah bgt gabisa nyobain uji coba nya wkwkwk  yaa walaupun banyak kali yaa drama selama perjalanan &amp  pas di Bandung wkwk";0;0;0;0;in;91911703;1712896856869818379;nethaniarosah;https://twitter.com/nethaniarosah/status/1712896856869818379
Fri Oct 13 18:20:41 +0000 2023;1712896152713286009;"@HabBstn @KeretaCepatID Setengah harga dari berapa deh?";0;0;0;0;in;1381487957790445568;1712874519445361122;irfania_a;https://twitter.com/irfania_a/status/1712896152713286009
Fri Oct 13 17:26:52 +0000 2023;1712882609699934269;"@luphicecube @KeretaCepatID Oalahhh, berarti udh telat ya kak, makasih kak infonya";0;0;0;0;in;1155786779191992320;1711732039895101744;jungwoonw;https://twitter.com/jungwoonw/status/1712882609699934269
Fri Oct 13 17:08:11 +0000 2023;1712877908778435013;"@luphicecube @KeretaCepatID Kak ini war nya itu kapan ya,  aku kira jam 12 malam tpi tiketnya semuanya gak bisa dibeli  Maaf banyak tanya kak😭 makasih";0;1;0;0;in;1155786779191992320;1711732039895101744;jungwoonw;https://twitter.com/jungwoonw/status/1712877908778435013
Fri Oct 13 17:06:21 +0000 2023;1712877444133540308;"@Husen_Husaeni @KeretaCepatID Jam berapa biasa war nya kak?";0;1;0;0;in;1155786779191992320;1711732039895101744;jungwoonw;https://twitter.com/jungwoonw/status/1712877444133540308
Fri Oct 13 16:57:01 +0000 2023;1712875096443076710;"@irfania_a @KeretaCepatID wkwkwk setengah harga ada ni";0;1;0;0;in;1704863826020347904;1712874519445361122;Dimasnurhamzah_;https://twitter.com/Dimasnurhamzah_/status/1712875096443076710
Fri Oct 13 16:54:43 +0000 2023;1712874519445361122;"Tiket kereta cepat ada yg gratis lagi gak si?? 😭 @KeretaCepatID";0;1;0;0;in;1381487957790445568;1712874519445361122;irfania_a;https://twitter.com/irfania_a/status/1712874519445361122
Fri Oct 13 16:42:41 +0000 2023;1712871490151158110;"Viral Tarif Ekonomi Kereta Cepat Whoosh Rp 300.000, KCIC Buka Suara https://t.co/utolB9XdSY";0;0;0;0;in;1225432911899324419;1712871490151158110;RepelitaO;https://twitter.com/RepelitaO/status/1712871490151158110
Fri Oct 13 16:41:17 +0000 2023;1712871135665443083;"@democrazymedia Pokok nya kcic, PCR dan vaxin hrus d usut";0;1;0;3;in;1607573507344588800;1712722335093141809;UwohMe;https://twitter.com/UwohMe/status/1712871135665443083
Fri Oct 13 16:34:51 +0000 2023;1712869517888733654;"@luphicecube @KeretaCepatID Makasih kak  Kak sama mau tanya, kalau discount type nya diisi none gpp ya kak? https://t.co/MBQbmnxfJL";0;1;0;0;in;1155786779191992320;1711732039895101744;jungwoonw;https://twitter.com/jungwoonw/status/1712869517888733654
Fri Oct 13 16:30:01 +0000 2023;1712868300349116608;"Beredar Harga Tiket Kereta Cepat Whoosh Rp300 Ribu-Rp600 Ribu, Ini Penjelasan KCIC https://t.co/vvV6u3E2SY";0;0;0;0;in;47274731;1712868300349116608;okezonenews;https://twitter.com/okezonenews/status/1712868300349116608
Fri Oct 13 16:03:47 +0000 2023;1712861698791707042;"Manager Corporate Communication KCIC Emir Monti mengatakan, perusahaan berencana untuk menyediakan fasilitas WiFi dalam rangkaian kereta cepat Jakarta-Bandung. &lt  #KeretaCepat #Wifi   https://t.co/lQceWretFZ";0;19;0;2;in;23343960;1712861698791707042;kompascom;https://twitter.com/kompascom/status/1712861698791707042
Fri Oct 13 16:00:09 +0000 2023;1712860786765525244;"@Inggitcatur_a @KeretaCepatID Kak kalau pake KTP isi masa berlaku nya gimana ya, kan seumur hidup kalau di ktp https://t.co/UmJtTEV0IE";0;0;0;0;in;1155786779191992320;1711732039895101744;jungwoonw;https://twitter.com/jungwoonw/status/1712860786765525244
Fri Oct 13 15:59:54 +0000 2023;1712860721292460529;"@luphicecube @KeretaCepatID Kak kalau pake KTP isi masa berlaku nya gimana ya, kan seumur hidup kalau di ktp https://t.co/wZOpPyqyem";0;1;0;0;in;1155786779191992320;1711732039895101744;jungwoonw;https://twitter.com/jungwoonw/status/1712860721292460529
